tahun,bulan,kode_prov_baru,kode_kab_baru,jenis_akomodasi,kelas_akomodasi,room,bed,room_yesterday,room_in,room_out,wna_yesterday,wni_yesterday,wna_in,wni_in,wna_out,wni_out
2023,1,76,02,2,2,4154,6479,884,887,869,0,1675,0,1694,0,1661
2023,1,76,03,2,2,3422,5010,192,127,118,0,354,0,250,0,236
2023,1,76,04,2,2,5518,9021,1158,1092,1045,0,2312,0,2157,0,2090
2023,1,76,05,2,2,2794,5077,1066,1026,1021,0,2332,0,2076,0,2062
2023,1,76,06,2,2,899,1147,94,94,88,0,116,0,111,0,116
2023,1,76,01,2,3,775,775,69,69,69,0,137,0,141,0,137
2023,1,76,02,2,3,899,1426,158,160,158,0,331,0,335,0,331
2023,1,76,03,2,3,1674,2635,64,64,64,0,119,0,119,0,119
2023,1,76,04,2,3,7099,11253,1719,1567,1557,0,3855,0,2914,0,2898
2023,1,76,05,2,3,2449,3968,199,194,192,0,393,0,385,0,381
2023,1,76,06,2,3,1705,2046,254,300,307,0,863,0,429,0,427
2023,1,76,02,2,4,1860,3100,190,195,190,0,346,0,354,0,346
2023,1,76,04,2,4,2852,4278,56,59,56,0,107,0,109,0,106
2023,1,81,04,1,1,1860,2418,171,172,171,0,418,0,342,0,337
2023,1,81,71,1,1,6324,8246,3136,1572,1531,0,2553,0,2332,0,2241
2023,1,81,03,1,2,620,620,296,45,56,0,1148,0,108,0,90
2023,1,81,71,1,2,11686,15096,2841,1965,2032,135,4890,21,3567,15,3716
2023,1,81,02,1,3,2240,2232,235,129,129,0,543,0,258,0,251
2023,1,81,03,1,3,1085,1519,59,58,58,0,93,0,91,0,89
2023,1,81,71,1,3,11935,16027,2130,1010,1085,174,2581,59,1295,54,1385
2023,1,81,03,1,4,2945,4061,1292,567,557,503,2018,210,851,200,858
2023,1,81,71,1,4,7781,13330,2966,1693,1750,153,2813,120,1573,120,1630
2023,1,81,01,2,1,1116,1426,68,60,60,0,68,0,60,0,60
2023,1,81,02,2,1,620,868,29,29,29,0,50,0,50,0,50
2023,1,81,03,2,1,4880,6960,312,199,192,6,433,1,268,0,263
2023,1,81,04,2,1,1674,1730,254,240,236,0,374,0,360,0,356
2023,1,81,05,2,1,992,1023,37,37,36,0,37,0,37,0,36
2023,1,81,06,2,1,1628,1736,125,118,118,0,197,0,176,0,176
2023,1,81,07,2,1,868,1054,1,55,52,0,1,0,61,0,58
2023,1,81,08,2,1,1736,1736,0,0,0,0,0,0,0,0,0
2023,1,81,09,2,1,837,837,9,9,9,0,9,0,9,0,9
2023,1,81,71,2,1,4894,5704,1194,1084,1056,0,1485,0,1299,0,1266
2023,1,81,01,2,2,2542,3441,146,133,130,0,173,0,159,0,156
2023,1,81,02,2,2,2232,3007,348,297,295,0,383,0,332,0,330
2023,1,81,03,2,2,12008,16545,981,701,677,106,1130,25,970,21,950
2023,1,81,04,2,2,7071,9163,611,596,578,0,1235,0,1185,0,1148
2023,1,81,05,2,2,4743,2832,102,80,80,0,110,0,85,0,85
2023,1,81,06,2,2,7578,10052,1107,1075,1043,0,1395,0,1328,0,1289
2023,1,81,07,2,2,1240,1240,13,152,156,0,13,0,156,0,160
2023,1,81,08,2,2,4045,4479,53,21,9,0,53,0,21,0,9
2023,1,81,09,2,2,3410,3410,65,46,46,0,74,0,51,0,51
2023,1,81,71,2,2,12478,14209,4014,2876,2803,0,4672,0,3329,0,3255
2023,1,81,72,2,2,2170,2170,160,137,130,0,302,0,272,0,258
2023,1,81,01,2,3,3503,5673,136,103,103,0,143,7,112,1,109
2023,1,81,02,2,3,1643,2015,207,140,144,0,330,0,233,0,238
2023,1,81,03,2,3,1178,1643,320,215,210,0,492,0,301,0,294
